TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:00:00	D1P		
21:04:00	TIR	Götze	
21:05:00	TIR	Konoplyanka	
21:12:00	TIR	Hector	
21:19:00	BUT	Mustafi	
21:23:00	TIR	Kroos	
21:26:00	TIR	Konoplyanka	
21:29:00	TIR	Khedira	
21:36:00	TIR	Konoplyanka	
21:38:00	TIR	Yarmolenko	
21:43:00	TIR	Schevchuk	
21:47:00	F1P		
22:02:00	D2P		
22:04:00	TIR	Özil	
22:05:00	TIR	Draxler	
22:08:00	TIR	Kroos	
22:12:00	TIR	Kroos	
22:14:00	TIR	Rakitskiy	
22:18:00	TIR	Khedira	 
22:22:00	CGT	Zozulya ; Seleznyov	
22:24:00	CJA	Konoplyanka	
22:25:00	TIR	Draxler	
22:31:00	CGT	Kovalenko ; Zinchenko	
22:32:00	TIR	Müller	
22:35:00	CGT	Draxler ; Schürlle	
22:38:00	TIR	Schürlle	
22:44:00	TIR	Özil	
22:46:00	CGT	Götze ; Schweinsteiger	
22:49:00	BUT	Schweinsteiger	
22:51:00	F2P		
