TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
15:02:00	D1P		
15:05:00	TIR	Rooney 	
15:09:00	TIR	Sterling 	
15:12:00	TIR	Ramsey 	
15:20:00	TIR	Rooney 	
15:24:00	TIR	Kane 	
15:28:00	TIR	Cahill	
15:38:00	TIR	Smalling	
15:44:00	BUT	Bale	
15:48:00	F1P		
16:04:00	D2P		
16:04:00	CGT	Sterling;Vardy 	
16:04:00	CGT	Kane;Sturridge	
16:13:00	TIR	Ramsey 	
16:14:00	TIR	Rooney 	
16:18:00	BUT	Vardy 	
16:20:00	CRO	Davies 	
16:25:00	TIR	Sturridge 	
16:26:00	CGT	Ledley;Edwards	 
16:30:00	CGT	Robson-Kanu;Williams	
16:38:00	TIR	Williams	
16:48:00	TIR	Cahill	
16:51:00	BUT	Sturridge 	
16:53:00	F2P		
