TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:00:00	D1P		
21:04:00	TIR	Tottenham	
21:08:00	TIR	Lallana 	
21:10:00	TIR	Kane	
21:13:00	TIR	Smalling 	
21:13:00	TIR	Kane	
21:18:00	TIR	Ignachevitch 	
21:22:00	TIR	Lallana	
21:28:00	TIR	Kane	
21:35:00	TIR	Rooney 	
21:39:00	TIR	Alli	
21:41:00	TIR	Rose	
21:42:00	TIR	Rose 	
21:46:00	F1P		
22:10:00	TIR	Rooney 	
22:14:00	TIR	Golovin	
22:17:00	CJA	Cahill 	
22:19:00	TIR	Smolov	
22:26:00		Rooney 	
22:27:00	CJA	Schennikov 	 
22:29:00	BUT	Dier 	
22:32:00	CGT	Golovin;Shirokov 	
22:32:00	CGT	Rooney;Wilshere	
22:35:00	CGT	Neustädter;Glushakov 	
22:39:00	TIR	Kane	
22:42:00	CGT	Smolov;Mamaev 	
22:49:00	BUT	Glushakov 	
22:50:00	F2P		
