TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:01:00	D1P		
18:02:00	TIR	Alaba	
18:04:00	TIR	Alaba	
18:06:00	TIR	Kleinheisler	
18:12:00	TIR	Alaba	
18:13:00	TIR	Kleinheisler	
18:17:00	TIR	Szalai	
18:25:00	TIR	Gera	
18:33:00	TIR	Alaba	
18:34:00	CJA	Drahgovic	
18:35:00	TIR	Szalai	
18:36:00	TIR	Junuzovic	
18:43:00	TIR	Harnik	
18:44:00	TIR	Dzsudzsák	
18:48:00	F1P		
19:02:00	D2P		
19:10:00	TIR	Gera	
19:12:00	TIR	Dzsudzsák	
19:16:00	CGT	Junuzovic ; Sabitzer	
19:19:00	BUT	Szalai	 
19:22:00	CGT	Janko ; Okotie	
19:23:00	CRO	Drahgovic	
19:26:00	CGT	Szalai ; Priskin 	
19:27:00	TIR	Nagy	
19:29:00	TIR	Németh	
19:31:00	TIR	Sabitzer	
19:35:00	CGT	Harnik ; Schopf	
19:36:00	CGT	Kleinheisler ; Stieber	
19:37:00	CJA	Németh	
19:41:00	TIR	Alaba	
19:44:00	BUT	Stieber	
19:46:00	CGT	Németh ; Pinter	
19:49:00	TIR	Schopf	
19:51:00	TIR	Arnautovic	
19:52:00	F2P		
