TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:01:00	D1P		
21:05:00	TIR	Candreva	
21:06:00	TIR	Candreva	
21:11:00	TIR	Naingollan	
21:23:00	TIR	Naingollan	
21:31:00	TIR	Pellè	
21:32:00	BUT	Giaccherini	
21:35:00	TIR	Candreva	
21:36:00	TIR	Pellè	
21:47:00	F1P		
22:02:00	D2P		
22:11:00	TIR	Lukaku	
22:11:00	TIR	Pellè	
22:13:00	TIR	Hazard	
22:16:00	CGT	Darmian ; De Sciglio	
22:19:00	CGT	Naingollan ; Mertens	
22:22:00	CJA	Chiellini	
22:30:00	CGT	Lukaku ; Origi	
22:32:00	CJA	Eder	
22:33:00	CGT	Eder ; Immobile	 
22:33:00	CGT	Ciman ; Ferreira Carrasco	
22:36:00	CJA	Bonucci	
22:36:00	CGT	De Rossi ; Thiago Motta	
22:39:00	TIR	Origi	
22:41:00	CGT	Thiago Motta	
22:41:00	TIR	Immobile	
22:49:00	CJA	Vertonghen	
22:49:00	BUT	Pellè	
22:52:00	F2P		
