TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
15:01:00	D1P		
15:15:00	TIR	Verthongen	
15:23:00	TIR	Hazard	
15:26:00	TIR	Carrasco	
15:30:00	TIR	De Bruyne	
15:43:00	TIR	Alderweireld	
15:46:00	CJA	Hendrick	
15:47:00	F1P		
16:02:00	D2P		
16:06:00	BUT	Lukaku	
16:14:00	CGT	Dembélé ; Nainggolan	
16:18:00	BUT	Witsel	
16:22:00	CGT	McCarthy ; McClean	
16:24:00	CGT	Carrasco ; Mertens	
16:29:00	BUT	Lukaku	
16:32:00	CGT	Hoolahan ; McGeady	
16:38:00	CGT	Long ; Keane	
16:39:00	BUT	Lukaku ; Benteke	
16:50:00	F2P		
			 
