TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
15:00:00	D1P		
15:08:00	TIR	piqué	
15:28:00	TIR	morata	
15:35:00	TIR	busquets	
15:37:00	TIR	nolito	
15:38:00	TIR	iniesta	
15:39:00	TIR	nolito	
15:44:00	TIR	ramos	
15:45:00	TIR	necid	
15:45:00	F1P		
16:01:00	D2P		
16:02:00	TIR	ramos	
16:03:00	TIR	hubnik	
16:15:00	TIR	iniesta	
16:07:00	CJA	limbersky	
16:18:00	CGT	morata;aduriz	
16:25:00	CGT	fabregas;alcantara	
16:28:00	TIR	silva	
16:31:00	CGT	necid;lafata	
16:32:00	TIR	aduriz	 
16:34:00	TIR	aduriz	
16:37:00	CGT	nolito;pedro	
16:42:00	CGT	selassie;sural	
16:42:00	BUT	piqué	
16:44:00	CGT	rosicky;pavelka	
16:48:00	TIR	darida	
16:49:00	F2P		
