TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:00:00	D1P		
21:02:00	CJA	Ramos	
21:07:00	TIR	Morata	
21:09:00	CJA	Yilmaz	
21:12:00	TIR	Balta	
21:24:00	TIR	Calhanoglu	
21:27:00	TIR	Calhanoglu	
21:29:00	TIR	Nolito	
21:34:00	BUT	Morata	
21:37:00	BUT	Nolito	
21:41:00	CJA	Tufan	
21:47:00	F1P		
22:03:00	D2P		
22:04:00	CGT	Calhanoglu ; Sahin	
22:07:00	BUT	Morata	
22:11:00	TIR	Yilmaz	
22:21:00	CGT	Ozyakup ; Sahan	
22:23:00	CGT	Silva ; Soriano	
22:28:00	TIR	Piqué	
22:29:00	CGT	Inan ; Malli	 
22:30:00	CGT	Fabregas ; Koke	
22:39:00	CGT	Alba ; Azpilicueta	
22:45:00	TIR	Erkin	
22:51:00	F2P		
