TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:03:00	D1P		
21:07:00	TIR	Giroud	
21:16:00	TIR	Lenjani	
21:18:00	TIR	Martial 	
21:37:00	TIR	Payet 	
21:39:00	TIR	Giroud	
21:47:00	TIR	Memushaj	
21:49:00	F1P		
22:04:00	D2P		
22:04:00	CGT	Martial ; Pogba 	
22:05:00	TIR	Coman	
22:06:00	TIR	Payet	
22:11:00	TIR	Memushaj	
22:12:00	TIR	Pogba	
22:14:00	CJA	Kukeli	
22:15:00	TIR	Coman	
22:18:00	TIR	Payet	
22:21:00	TIR	Koscielny	
22:26:00	TIR	Giroud	
22:26:00	CGT	Coman ; Griezmann	
22:27:00	TIR	Giroud	
22:30:00	CGT	Lila ; Roshi	
22:32:00	CGT	Kukeli ; Xhaka	
22:35:00	CGT	Giroud ; Gignac	
22:37:00	TIR	Sagna 	
22:39:00	CJA	Abrashi	
22:40:00	TIR	Payet	 
22:41:00	TIR	Griezmann	
22:42:00	TIR	Kanté	
22:43:00	CGT	Ajeti ; Veseli	
22:46:00	CJA	Kanté	
22:48:00	BUT	Griezmann	
22:54:00	BUT	Payet	
22:55:00	F2P		
