TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:01:00	D1P		
21:02:00	TIR	Matuidi	
21:04:00	TIR	Pintilii	
21:05:00	TIR	Stancu	
21:11:00	TIR	Griezmann	
21:12:00	TIR	Giroud	
21:15:00	TIR	Griezmann	
21:28:00	TIR	Pogba	
21:33:00	CJA	Chiriches	
21:37:00	TIR	Griezmann	
21:45:00	TIR	Payet	
21:46:00	CJA	Rat	
21:48:00	TIR	Giroud	
21:48:00	F1P		
22:04:00	D2P		
22:07:00	TIR	Stancu	
22:12:00	TIR	Giroud	
22:16:00	TIR	Pogba	
22:17:00	BUT	Giroud	
22:19:00	TIR	Andone	
22:20:00	CGT	Andone Alibec	 
22:23:00	PEN	Roumanie	
22:24:00	BUT	Stancu	
22:25:00	CGT	Griezmann ; Coman	
22:28:00	CJA	Giroud	
22:31:00	CGT	Stanciu ; Chipciu	
22:36:00	CGT	Pogba ; Martial	
22:37:00	CJA	Popa	
22:39:00	TIR	Hoban	
22:40:00	TIR	Martial	
22:41:00	CGT	Popa ; Torje	
22:48:00	BUT	Payet	
22:53:00	F2P		
