TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:01:00	D1P		
18:05:00	TIR	Hamsik	
18:10:00	TIR	Bale	
18:11:00	BUT	Bale	
18:25:00	TIR	Kucka	
18:33:00	CJA	Hrošovský	
18:47:00	F1P		
19:03:00	D2P		
19:09:00	TIR	Ramsey	
19:13:00	TIR	Mak	
19:15:00	TIR	Bale	
19:18:00	CGT	Hrosovsky ; Duda	
19:18:00	CGT	Duris ;  Nemec	
19:19:00	BUT	Duda	
19:29:00	CGT	Edwards ; Ledley	
19:29:00	CGT	Williams ; Robson-Kanu	
19:32:00	TIR	Ramsey	
19:36:00	CJA	Mak	
19:38:00	CJA	Weiss	
19:41:00	BUT	Robson-Kanu	
19:45:00	TIR	Nemec	
19:47:00	CGT	Ramsey-Richards	
19:52:00	F2P		 
