TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:00:00	D1P		
18:11:00	TIR	Bodvarsson	
18:13:00	TIR	Stieber	
18:17:00	TIR	Priskin	
18:18:00	TIR	Dzsudzsak	
18:31:00	TIR	Gudmundsson	
18:36:00	TIR	Kleinheisler	
18:37:00	TIR	Skulason	
18:38:00	PEN	Islande	
18:39:00	BUT	Sigurdsson	
18:42:00	CJA	Gudmundsson	
18:46:00	F1P		
19:01:00	D2P		
19:07:00	TIR	Kleinheisler	
19:14:00	TIR	Gunnarsson	
19:15:00	TIR	Kleinheisler	
19:21:00	TIR	Sigthorsson	
19:22:00	CGT	Gunnarsson ; Hallfredsson	
19:24:00	TIR	Dzsudzsak	
19:25:00	CGT	Stieber ; Nikolic	 
19:25:00	CGT	Priskin ; Bode	 
19:26:00	CGT	Bodvarsson ; Finnbogason	
19:29:00	TIR	Bode	
19:31:00	CJA	Finnbogason	
19:33:00	TIR	Bode	
19:33:00	CJA	Saevarsson	
19:37:00	CJA	Kadar	
19:40:00	CJA	Kleinheisler	
19:40:00	CGT	Sigthorsson ; Gudjohnsen	
19:42:00	CGT	Juhasz ; Szalai	
19:44:00	BUT	Saevarsson	
19:47:00	CJA	Nagy	
19:49:00	TIR	??? (Hongrie)	
19:53:00	TIR	Gufjohnssen	
19:53:00	F2P		
