TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:00:00	D1P		
21:02:00	TIR	Carvalho	
21:04:00	TIR	Harnik	
21:06:00	TIR	Nani	
21:14:00	TIR	Vieirinha	
21:23:00	TIR	Ronaldo	
21:30:00	TIR	Nani	
21:32:00	CJA	Quaresma	
21:35:00	TIR	Ronaldo	
21:37:00	TIR	Quaresma	
21:42:00	TIR	Alaba	
21:45:00	F1P		
22:00:00	D2P		
22:02:00	TIR	Ilsanker	
22:04:00	CJA	Harnik	
22:11:00	TIR	Ronaldo	
22:12:00	TIR	Ronaldo	
22:16:00	CJA	Fuchs	
22:21:00	CGT	Alaba ; Schopf	 
22:26:00	CGT	Quaresma ; João Mario	
22:33:00	PEN	Portugal	
22:34:00	TIR	Ronaldo	
22:39:00	CGT	Andre Gomes ; Eder	
22:41:00	TIR	Ronaldo	
22:45:00	CJA	Schopf	
22:49:00	F2P		
