TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
21:00:00	D1P		
21:04:00	TIR	Sigurdsson	
21:19:00	TIR	Vieirinha	
21:22:00	TIR	Nani	
21:24:00	TIR	Ronaldo	
21:33:00	BUT	Nani	
21:42:00	TIR	Moutinho	
21:47:00	F1P		
22:00:00	D2P		
22:04:00	TIR	Ronaldo	
22:06:00	BUT	Bjarnason	
22:11:00	CJA	Bjarnason	
22:16:00	TIR	Gomes	
22:26:00	CGT	Moutinho ; Sanches	
22:27:00	TIR	Nani	
22:29:00	TIR	Ronaldo	
22:32:00	CGT	Mario ; Quaresma	
22:34:00	TIR	Quaresma	
22:37:00	CGT	Sigthorsson ; Finnbogason	
22:40:00	CGT	Gomes ; Eder	 
22:40:00	TIR	Ronaldo	
22:43:00	TIR	Quaresma	
22:46:00	CGT	Gudmunson ; Bjarnason	
22:48:00	TIR	Quaresma	
22:49:00	TIR	Ronaldo	
22:50:00	TIR	Ronaldo	
22:51:00	F2P		
