TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:00:00	D1P		
18:04:00	TIR	Shaqiri	
18:06:00	TIR	Seferovic	
18:10:00	TIR	Rodriguez	
18:16:00	TIR	Seferovic	
18:18:00	PEN	Roumanie	
18:18:00	BUT	Stancu	
18:21:00	TIR	Schar	
18:23:00	CJA	Prepelita	
18:24:00	CJA	Chipciu	
18:26:00	TIR	Chipciu	
18:27:00	TIR	Sapunaru	
18:33:00	TIR	Rodriguez	
18:37:00	CJA	Keseru	
18:38:00	TIR	Dzemaili	
18:44:00	TIR	Lichtsteiner	
18:47:00	F1P		
19:02:00	D2P		
19:02:00	CGT	Pintilii ; Hoban	
19:03:00	TIR	Hoban	 
19:06:00	TIR	Shaqiri	
19:07:00	CJA	Xhaka	
19:13:00	BUT	Mehmedi	
19:16:00	TIR	Shaqiri	
19:18:00	CGT	Rat ; Filip	
19:20:00	CGT	Seferovic ; Embolo	
19:21:00	TIR	Keseru	
19:25:00	TIR	Embolo	
19:27:00	TIR	Torje	
19:31:00	TIR	Shaqiri	
19:33:00	CJA	Grigore 	
19:40:00	CGT	Dzemaili ; Lang	
19:40:00	CGT	Stancu ; Andone	
19:47:00	CGT	Shakiri ; Tarashaj	
19:50:00	F2P		
