TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
15:00:00	D1P		
15:08:00	TIR	Skrtel	
15:09:00	TIR	Hamsik	
15:11:00	TIR	Durica	
15:19:00	TIR	Smolov	
15:23:00	TIR	Dzyuba	
15:27:00	TIR	Smolov	
15:30:00	TIR	Dzyuba	
15:33:00	BUT	Weiss	
15:42:00	TIR	Hamsik	
15:46:00	BUT	Hamsik	
15:47:00	F1P		
16:01:00	D2P		
16:02:00	CJA	Durica	
16:05:00	TIR	Duda	
16:11:00	TIR	Mak	
16:13:00	TIR	Shatov	
16:23:00	TIR	Shatov	
16:24:00	CGT	Duda; Nemec	
16:29:00	CGT	Weiss; Svento	
16:32:00	CGT	Kokorin; Shirokov 	
16:35:00	TIR	Mamaev	 
16:36:00	CGT	Mak; Duric	
16:38:00	BUT	Glushakov	
16:43:00	TIR	Glushakov	
16:46:00	TIR	Dzyuba	
16:51:00	F2P		
