TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:00:00	D1P		
18:10:00	TIR	Hendrick	
18:22:00	TIR	Zlatan	
18:30:00	TIR	Brady	
18:33:00	TIR	Hendrick	
18:39:00	TIR	Zlatan	
08:44:00	CJA	McCarthy	
08:45:00	CGT	Lustig;Johansson	
18:47:00	F1P		
19:02:00	D2P		
19:04:00	TIR	Hendrick	
19:05:00	BUT	Hoolahan	
19:07:00	TIR	Forsberg	
19:16:00	CGT	Berg; Guidetti	
19:17:00	TIR	Zlatan	
19:19:00	CJA	Lindelöf	
19:21:00	CGT	Walters;McClean 	
19:29:00	TIR	McClean	
19:29:00	BUT	Ibrahimovic	
19:35:00	CJA	Whelan	
19:36:00	CGT	Hoolahan ;Keane 	 
19:42:00	CGT	McCarthy ;McGeady 	
19:43:00	CGT	Lewicki;Ekdal 	
19:51:00	F2P		
