TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:00:00	D1P		
18:15:00	CJA	Badelj	
18:20:00	TIR	Mandzukic	
18:22:00	TIR	Perisic	
18:22:00	TIR	Rakitic	
18:37:00	TIR	Rakitic	
18:38:00	BUT	Perisic	
18:44:00	TIR	Lafata	
18:47:00	F1P		
19:01:00	D2P		
19:02:00	TIR	Rakitic	
19:09:00	TIR	Krejci	
19:17:00	BUT	Rakitic	
19:18:00	CGT	Modric ; Kovacic	
19:23:00	TIR	Mandzukic	
19:24:00	CGT	Skalak ; Sural	
19:24:00	CGT	Lafata ; Skoda	
19:28:00	CJA	Sivok	
19:28:00	TIR	Rakitic	
19:32:00	BUT	Skoda	
19:37:00	TIR	Brozovic	
19:42:00	CGT	Plasil ; Necid	
19:49:00	PEN	République Tchèque	 
19:50:00	BUT	Necid	
19:54:00	CGT	Rakitic ; Schildenfeld	
19:54:00	CGT	Strinic ; Vrsaljko	
19:56:00	F2P		
