TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
18:00:00	D1P		
18:25:00	TIR	Rakitskiy	
18:26:00	TIR	Konoplyanka	
18:27:00	TIR	Konoplyanka	
18:35:00	TIR	Cathcart	
18:43:00	TIR	Davis	
18:45:00	TIR	Ward	
18:47:00	F1P		
19:00:00	D2P		
19:03:00	TIR	Seleznyov	
19:04:00	BUT	McAuley	
19:19:00	CJA	Ward	
19:20:00	TIR	Dallas	
19:22:00	CJA	Sidortchuk	
19:24:00	CGT	Ward ; McGinn	
19:27:00	TIR	Kovalenko	
19:28:00	CGT	Seleznyov ; Zozoulya	
19:31:00	TIR	Fedetskiy	
19:34:00	TIR	Shevtchouk	 
19:36:00	TIR	Shevtchouk	
19:40:00	CGT	Stepanenko ; Zintchenko	
19:40:00	CGT	Washington ; McGinn	
19:42:00	CJA	Dallas	
19:43:00	TIR	Donetsk	
19:45:00	TIR	Yarmolenko	
19:48:00	CGT	Evans ; McNair	
19:50:00	CJA	Evans	
19:51:00	TIR	Konoplyanka	
19:51:00	BUT	McGinn	
19:54:00	F2P		
